category;scope;category_name;RMSE;MSE;MAE;MAPE;R2;StandardDeviation
SubSector;CF2_log;Specialized REITs ;0.92996001;0.86482562;0.849091313;0.210744586;0.038498255;0.645230114
SubSector;CF2_log;Agricultural Products;1.017295336;1.0348898;0.779044805;0.221186862;0.056254097;0.663670283
SubSector;CF2_log;Home Furnishings;0.291194954;0.084794501;0.277942412;0.061411213;-40.95667622;0.257693822
SubSector;CF2_log;Movies & Entertainment;0.819775615;0.672032058;0.657937354;0.134495332;-2.443245783;0.781440518
SubSector;CF2_log;Leisure Products;0.513390743;0.263570055;0.390314821;0.13541701;0.639276851;0.512771116
SubSector;CF2_log;Managed Health Care;0.834214928;0.695914545;0.819920651;0.161381098;-51.39790798;0.153768242
SubSector;CF2_log;Electronic Manufacturing Services;1.328193283;1.764097397;1.306869116;0.215908678;-37.16423598;0.237045377
SubSector;CF2_log;Oil & Gas Drilling;1.906230276;3.633713865;1.83950822;0.492078276;-34.1286278;0.499923368
SubSector;CF2_log;Internet Services & Infrastructure;2.825638473;7.984232782;2.82120768;0.512508903;-5.581492813;0.158177142
SubSector;CF2_log;Specialized Finance;0.627126591;0.393287762;0.560101168;0.171816301;0.204203592;0.399085114
SubSector;CF2_log;Financial Exchanges & Data;1.207185383;1.457296549;0.970671684;0.291638731;-1.604620473;0.796342032
SubSector;CF2_log;Interactive Home Entertainment;1.237961743;1.532549278;1.228406124;0.345332904;-11.45234589;0.153517664
SubSector;CF2_log;Mortgage REITs;0.723094372;0.522865471;0.723094372;0.189223238;;0
SubSector;CF2_log;Insurance Brokers;0.760091197;0.577738627;0.647730066;0.141852254;-0.193821216;0.397724011
SubSector;CF2_log;Restaurants;0.774665642;0.600106857;0.734837543;0.138317807;0.033844931;0.746968659
SubSector;CF2_log;Education Services;0.916501008;0.839974097;0.828624572;0.211252256;-0.673215469;0.664438756
SubSector;CF2_log;Real Estate Services ;1.609027043;2.588968026;1.467274852;0.259918581;-5.19627396;0.660357883
SubSector;CF2_log;Specialized Consumer Services;0.168080457;0.02825104;0.11137199;0.028731089;-75.09648879;0.130238667
ENEConsume_log;CF2_log;FALSE;0.981988043;0.964300517;0.765937421;0.175099702;0.141399496;0.964894363
ENEProduce_log;CF2_log;FALSE;0.981988043;0.964300517;0.765937421;0.175099702;0.141399496;0.964894363
